Duration,PID,group,Task,Performance,Topic
42,779,A,F 12,1.5,Cross Table
42,779,A,F 13,3,Correlation
42,779,A,F 14,3,Correlation
42,779,A,F 15,2,Correlation
42,779,A,F 19,3,Mean Difference
42,779,A,F 20,3,Mean Difference
42,779,A,F 21,2.25,Mean Difference
42,779,A,F 25,3,Quali
42,779,A,F 26,3,Quali
42,779,A,F 27,0,Quali
42,779,A,F 28,3,Quali
42,779,A,F 29,3,Quali
42,779,A,F 30,3,Quali
42,779,A,F 31,3,Quali
42,779,A,F 32,3,Quali
42,779,A,F 33,3,Quali
42,779,A,F 34,3,Quali
42,779,A,F 35,3,Quali
42,779,A,F 36,0,Quali
42,779,A,F 37,3,Quali
42,779,A,F 38,3,Quali
42,779,A,F 39,0,Quali
42,779,A,F 40,3,Quali
42,779,A,F 41,3,Quali
42,779,A,F 42,3,Quali
45,833,B,F 1,0,Methodology
45,833,B,F 2,0,Methodology
45,833,B,F 3,0,Methodology
45,833,B,F 4,0,Measurement Theory
45,833,B,F 5,0,Measurement Theory
45,833,B,F 6,0,Measurement Theory
45,833,B,F 7,0,Distribution
45,833,B,F 8,0,Distribution
45,833,B,F 9,0,Distribution
45,833,B,F 10,0,Cross Table
45,833,B,F 11,0,Cross Table
45,833,B,F 12,0,Cross Table
45,833,B,F 13,0,Correlation
45,833,B,F 14,0,Correlation
45,833,B,F 15,0,Correlation
45,833,B,F 19,0,Mean Difference
45,833,B,F 20,0,Mean Difference
45,833,B,F 21,0,Mean Difference
45,833,B,F 25,0,Quali
45,833,B,F 26,0,Quali
45,833,B,F 27,0,Quali
45,833,B,F 28,0,Quali
45,833,B,F 29,0,Quali
45,833,B,F 30,0,Quali
45,833,B,F 31,0,Quali
45,833,B,F 32,0,Quali
45,833,B,F 33,0,Quali
45,833,B,F 34,0,Quali
45,833,B,F 35,0,Quali
45,833,B,F 36,0,Quali
45,833,B,F 37,0,Quali
45,833,B,F 38,0,Quali
45,833,B,F 39,0,Quali
45,833,B,F 40,0,Quali
45,833,B,F 41,0,Quali
45,833,B,F 42,0,Quali
49,824,B,F 1,3,Methodology
49,824,B,F 2,3,Methodology
49,824,B,F 3,0,Methodology
49,824,B,F 4,3,Measurement Theory
49,824,B,F 5,1,Measurement Theory
49,824,B,F 6,2.25,Measurement Theory
49,824,B,F 7,0,Distribution
49,824,B,F 8,0,Distribution
49,824,B,F 9,3,Distribution
49,824,B,F 10,1.5,Cross Table
49,824,B,F 11,0,Cross Table
49,824,B,F 12,0,Cross Table
49,824,B,F 13,0,Correlation
49,824,B,F 14,0,Correlation
49,824,B,F 15,0,Correlation
49,824,B,F 19,3,Mean Difference
49,824,B,F 20,1,Mean Difference
49,824,B,F 21,0,Mean Difference
49,824,B,F 25,0,Quali
49,824,B,F 26,3,Quali
49,824,B,F 27,0,Quali
49,824,B,F 28,0,Quali
49,824,B,F 29,0,Quali
49,824,B,F 30,3,Quali
49,824,B,F 31,3,Quali
49,824,B,F 32,3,Quali
49,824,B,F 33,3,Quali
49,824,B,F 34,3,Quali
49,824,B,F 35,3,Quali
49,824,B,F 36,3,Quali
49,824,B,F 37,0,Quali
49,824,B,F 38,0,Quali
49,824,B,F 39,3,Quali
49,824,B,F 40,0,Quali
49,824,B,F 41,3,Quali
49,824,B,F 42,3,Quali
48,619,A,F 1,3,Methodology
48,619,A,F 2,3,Methodology
48,619,A,F 3,2,Methodology
48,619,A,F 4,2.5,Measurement Theory
48,619,A,F 5,3,Measurement Theory
48,619,A,F 6,1.5,Measurement Theory
48,619,A,F 7,3,Distribution
48,619,A,F 8,3,Distribution
48,619,A,F 9,3,Distribution
48,619,A,F 10,1.5,Cross Table
48,619,A,F 11,3,Cross Table
48,619,A,F 12,3,Cross Table
48,619,A,F 13,0,Correlation
48,619,A,F 14,3,Correlation
48,619,A,F 15,3,Correlation
48,619,A,F 19,3,Mean Difference
48,619,A,F 20,3,Mean Difference
48,619,A,F 21,3,Mean Difference
48,619,A,F 25,3,Quali
48,619,A,F 26,3,Quali
48,619,A,F 27,3,Quali
48,619,A,F 28,3,Quali
48,619,A,F 29,3,Quali
48,619,A,F 30,3,Quali
48,619,A,F 31,3,Quali
48,619,A,F 32,3,Quali
48,619,A,F 33,3,Quali
48,619,A,F 34,0,Quali
48,619,A,F 35,3,Quali
48,619,A,F 36,0,Quali
48,619,A,F 37,0,Quali
48,619,A,F 38,3,Quali
48,619,A,F 39,0,Quali
48,619,A,F 40,3,Quali
48,619,A,F 41,3,Quali
48,619,A,F 42,3,Quali
48,851,B,F 1,0,Methodology
48,851,B,F 2,3,Methodology
48,851,B,F 3,3,Methodology
48,851,B,F 4,1.5,Measurement Theory
48,851,B,F 5,0,Measurement Theory
48,851,B,F 6,0.75,Measurement Theory
48,851,B,F 7,0,Distribution
48,851,B,F 8,1,Distribution
48,851,B,F 9,3,Distribution
48,851,B,F 10,3,Cross Table
48,851,B,F 11,0,Cross Table
48,851,B,F 12,0,Cross Table
48,851,B,F 13,0,Correlation
48,851,B,F 14,0,Correlation
48,851,B,F 15,2,Correlation
48,851,B,F 19,2,Mean Difference
48,851,B,F 20,1,Mean Difference
48,851,B,F 21,0,Mean Difference
48,851,B,F 25,0,Quali
48,851,B,F 26,0,Quali
48,851,B,F 27,3,Quali
48,851,B,F 28,3,Quali
48,851,B,F 29,3,Quali
48,851,B,F 30,0,Quali
48,851,B,F 31,3,Quali
48,851,B,F 32,0,Quali
48,851,B,F 33,0,Quali
48,851,B,F 34,3,Quali
48,851,B,F 35,0,Quali
48,851,B,F 36,0,Quali
48,851,B,F 37,3,Quali
48,851,B,F 38,3,Quali
48,851,B,F 39,0,Quali
48,851,B,F 40,0,Quali
48,851,B,F 41,0,Quali
48,851,B,F 42,0,Quali
53,729,A,F 1,0.75,Methodology
53,729,A,F 2,0,Methodology
53,729,A,F 3,0,Methodology
53,729,A,F 4,1,Measurement Theory
53,729,A,F 5,1,Measurement Theory
53,729,A,F 6,2.25,Measurement Theory
53,729,A,F 7,3,Distribution
53,729,A,F 8,0,Distribution
53,729,A,F 9,0,Distribution
53,729,A,F 10,1.5,Cross Table
53,729,A,F 11,0,Cross Table
53,729,A,F 12,0,Cross Table
53,729,A,F 13,0,Correlation
53,729,A,F 14,0,Correlation
53,729,A,F 15,2,Correlation
53,729,A,F 19,0,Mean Difference
53,729,A,F 20,2,Mean Difference
53,729,A,F 21,2.25,Mean Difference
53,729,A,F 25,3,Quali
53,729,A,F 26,0,Quali
53,729,A,F 27,3,Quali
53,729,A,F 28,3,Quali
53,729,A,F 29,3,Quali
53,729,A,F 30,0,Quali
53,729,A,F 31,3,Quali
53,729,A,F 32,0,Quali
53,729,A,F 33,3,Quali
53,729,A,F 34,0,Quali
53,729,A,F 35,0,Quali
53,729,A,F 36,0,Quali
53,729,A,F 37,3,Quali
53,729,A,F 38,0,Quali
53,729,A,F 39,3,Quali
53,729,A,F 40,0,Quali
53,729,A,F 41,0,Quali
53,729,A,F 42,3,Quali
53,708,A,F 1,0.75,Methodology
53,708,A,F 2,0,Methodology
53,708,A,F 3,0,Methodology
53,708,A,F 4,2.5,Measurement Theory
53,708,A,F 5,3,Measurement Theory
53,708,A,F 6,1.5,Measurement Theory
53,708,A,F 7,3,Distribution
53,708,A,F 8,2,Distribution
53,708,A,F 9,0,Distribution
53,708,A,F 10,1.5,Cross Table
53,708,A,F 11,0,Cross Table
53,708,A,F 12,0,Cross Table
53,708,A,F 13,1.5,Correlation
53,708,A,F 14,3,Correlation
53,708,A,F 15,0,Correlation
53,708,A,F 19,0,Mean Difference
53,708,A,F 20,0,Mean Difference
53,708,A,F 21,2.25,Mean Difference
53,708,A,F 25,3,Quali
53,708,A,F 26,0,Quali
53,708,A,F 27,0,Quali
53,708,A,F 28,3,Quali
53,708,A,F 29,0,Quali
53,708,A,F 30,1.5,Quali
53,708,A,F 31,3,Quali
53,708,A,F 32,3,Quali
53,708,A,F 33,0,Quali
53,708,A,F 34,0,Quali
53,708,A,F 35,0,Quali
53,708,A,F 36,0,Quali
53,708,A,F 37,3,Quali
53,708,A,F 38,0,Quali
53,708,A,F 39,3,Quali
53,708,A,F 40,0,Quali
53,708,A,F 41,3,Quali
53,708,A,F 42,3,Quali
55,790,A,F 1,1,Methodology
55,790,A,F 2,1.5,Methodology
55,790,A,F 3,2,Methodology
55,790,A,F 4,3,Measurement Theory
55,790,A,F 5,3,Measurement Theory
55,790,A,F 6,0.75,Measurement Theory
55,790,A,F 7,3,Distribution
55,790,A,F 8,1,Distribution
55,790,A,F 9,1.5,Distribution
55,790,A,F 10,1.5,Cross Table
55,790,A,F 11,0,Cross Table
55,790,A,F 12,0,Cross Table
55,790,A,F 13,0,Correlation
55,790,A,F 14,0,Correlation
55,790,A,F 15,0,Correlation
55,790,A,F 19,3,Mean Difference
55,790,A,F 20,0,Mean Difference
55,790,A,F 21,0,Mean Difference
55,790,A,F 25,0,Quali
55,790,A,F 26,0,Quali
55,790,A,F 27,3,Quali
55,790,A,F 28,0,Quali
55,790,A,F 29,0,Quali
55,790,A,F 30,3,Quali
55,790,A,F 31,0,Quali
55,790,A,F 32,0,Quali
55,790,A,F 33,3,Quali
55,790,A,F 34,0,Quali
55,790,A,F 35,0,Quali
55,790,A,F 36,0,Quali
55,790,A,F 37,3,Quali
55,790,A,F 38,0,Quali
55,790,A,F 39,3,Quali
55,790,A,F 40,0,Quali
55,790,A,F 41,3,Quali
55,790,A,F 42,3,Quali
52,858,A,F 1,2.25,Methodology
52,858,A,F 2,3,Methodology
52,858,A,F 3,1,Methodology
52,858,A,F 4,2.5,Measurement Theory
52,858,A,F 5,3,Measurement Theory
52,858,A,F 6,1.5,Measurement Theory
52,858,A,F 7,3,Distribution
52,858,A,F 8,3,Distribution
52,858,A,F 9,3,Distribution
52,858,A,F 10,1.5,Cross Table
52,858,A,F 11,3,Cross Table
52,858,A,F 12,3,Cross Table
52,858,A,F 13,3,Correlation
52,858,A,F 14,0,Correlation
52,858,A,F 15,0,Correlation
52,858,A,F 19,3,Mean Difference
52,858,A,F 20,3,Mean Difference
52,858,A,F 21,3,Mean Difference
52,858,A,F 25,3,Quali
52,858,A,F 26,3,Quali
52,858,A,F 27,0,Quali
52,858,A,F 28,3,Quali
52,858,A,F 29,3,Quali
52,858,A,F 30,2.25,Quali
52,858,A,F 31,3,Quali
52,858,A,F 32,3,Quali
52,858,A,F 33,3,Quali
52,858,A,F 34,3,Quali
52,858,A,F 35,3,Quali
52,858,A,F 36,0,Quali
52,858,A,F 37,3,Quali
52,858,A,F 38,3,Quali
52,858,A,F 39,3,Quali
52,858,A,F 40,3,Quali
52,858,A,F 41,3,Quali
52,858,A,F 42,3,Quali
55,818,B,F 1,0,Methodology
55,818,B,F 2,0,Methodology
55,818,B,F 3,0,Methodology
55,818,B,F 4,1.5,Measurement Theory
55,818,B,F 5,1,Measurement Theory
55,818,B,F 6,0.75,Measurement Theory
55,818,B,F 7,0,Distribution
55,818,B,F 8,0,Distribution
55,818,B,F 9,0,Distribution
55,818,B,F 10,3,Cross Table
55,818,B,F 11,0,Cross Table
55,818,B,F 12,0,Cross Table
55,818,B,F 13,0,Correlation
55,818,B,F 14,0,Correlation
55,818,B,F 15,1,Correlation
55,818,B,F 19,2,Mean Difference
55,818,B,F 20,0,Mean Difference
55,818,B,F 21,1.5,Mean Difference
55,818,B,F 25,0,Quali
55,818,B,F 26,0,Quali
55,818,B,F 27,0,Quali
55,818,B,F 28,3,Quali
55,818,B,F 29,0,Quali
55,818,B,F 30,2.25,Quali
55,818,B,F 31,3,Quali
55,818,B,F 32,0,Quali
55,818,B,F 33,3,Quali
55,818,B,F 34,3,Quali
55,818,B,F 35,0,Quali
55,818,B,F 36,0,Quali
55,818,B,F 37,0,Quali
55,818,B,F 38,3,Quali
55,818,B,F 39,3,Quali
55,818,B,F 40,3,Quali
55,818,B,F 41,3,Quali
55,818,B,F 42,3,Quali
57,825,A,F 1,2,Methodology
57,825,A,F 2,0,Methodology
57,825,A,F 3,0,Methodology
57,825,A,F 4,1,Measurement Theory
57,825,A,F 5,3,Measurement Theory
57,825,A,F 6,2.25,Measurement Theory
57,825,A,F 7,0,Distribution
57,825,A,F 8,2,Distribution
57,825,A,F 9,3,Distribution
57,825,A,F 10,3,Cross Table
57,825,A,F 11,0,Cross Table
57,825,A,F 12,0,Cross Table
57,825,A,F 13,0,Correlation
57,825,A,F 14,3,Correlation
57,825,A,F 15,0,Correlation
57,825,A,F 19,3,Mean Difference
57,825,A,F 20,0,Mean Difference
57,825,A,F 21,0,Mean Difference
57,825,A,F 25,0,Quali
57,825,A,F 26,3,Quali
57,825,A,F 27,0,Quali
57,825,A,F 28,3,Quali
57,825,A,F 29,0,Quali
57,825,A,F 30,2.25,Quali
57,825,A,F 31,3,Quali
57,825,A,F 32,0,Quali
57,825,A,F 33,0,Quali
57,825,A,F 34,3,Quali
57,825,A,F 35,0,Quali
57,825,A,F 36,0,Quali
57,825,A,F 37,3,Quali
57,825,A,F 38,0,Quali
57,825,A,F 39,0,Quali
57,825,A,F 40,0,Quali
57,825,A,F 41,3,Quali
57,825,A,F 42,3,Quali
58,578,B,F 1,3,Methodology
58,578,B,F 2,3,Methodology
58,578,B,F 3,3,Methodology
58,578,B,F 4,3,Measurement Theory
58,578,B,F 5,3,Measurement Theory
58,578,B,F 6,3,Measurement Theory
58,578,B,F 7,3,Distribution
58,578,B,F 8,3,Distribution
58,578,B,F 9,3,Distribution
58,578,B,F 10,3,Cross Table
58,578,B,F 11,0,Cross Table
58,578,B,F 12,3,Cross Table
58,578,B,F 13,3,Correlation
58,578,B,F 14,3,Correlation
58,578,B,F 15,3,Correlation
58,578,B,F 19,3,Mean Difference
58,578,B,F 20,3,Mean Difference
58,578,B,F 21,3,Mean Difference
58,578,B,F 25,3,Quali
58,578,B,F 26,3,Quali
58,578,B,F 27,3,Quali
58,578,B,F 28,3,Quali
58,578,B,F 29,3,Quali
58,578,B,F 30,3,Quali
58,578,B,F 31,0,Quali
58,578,B,F 32,0,Quali
58,578,B,F 33,3,Quali
58,578,B,F 34,3,Quali
58,578,B,F 35,0,Quali
58,578,B,F 36,3,Quali
58,578,B,F 37,0,Quali
58,578,B,F 38,3,Quali
58,578,B,F 39,3,Quali
58,578,B,F 40,3,Quali
58,578,B,F 41,3,Quali
58,578,B,F 42,3,Quali
58,569,A,F 1,2.25,Methodology
58,569,A,F 2,0,Methodology
58,569,A,F 3,3,Methodology
58,569,A,F 4,3,Measurement Theory
58,569,A,F 5,3,Measurement Theory
58,569,A,F 6,3,Measurement Theory
58,569,A,F 7,3,Distribution
58,569,A,F 8,3,Distribution
58,569,A,F 9,3,Distribution
58,569,A,F 10,3,Cross Table
58,569,A,F 11,3,Cross Table
58,569,A,F 12,3,Cross Table
58,569,A,F 13,3,Correlation
58,569,A,F 14,3,Correlation
58,569,A,F 15,3,Correlation
58,569,A,F 19,3,Mean Difference
58,569,A,F 20,3,Mean Difference
58,569,A,F 21,0,Mean Difference
58,569,A,F 25,3,Quali
58,569,A,F 26,3,Quali
58,569,A,F 27,0,Quali
58,569,A,F 28,3,Quali
58,569,A,F 29,0,Quali
58,569,A,F 30,3,Quali
58,569,A,F 31,3,Quali
58,569,A,F 32,3,Quali
58,569,A,F 33,0,Quali
58,569,A,F 34,0,Quali
58,569,A,F 35,3,Quali
58,569,A,F 36,3,Quali
58,569,A,F 37,3,Quali
58,569,A,F 38,3,Quali
58,569,A,F 39,0,Quali
58,569,A,F 40,3,Quali
58,569,A,F 41,3,Quali
58,569,A,F 42,3,Quali
58,801,A,F 1,2.25,Methodology
58,801,A,F 2,3,Methodology
58,801,A,F 3,3,Methodology
58,801,A,F 4,2.5,Measurement Theory
58,801,A,F 5,3,Measurement Theory
58,801,A,F 6,2.25,Measurement Theory
58,801,A,F 7,3,Distribution
58,801,A,F 8,3,Distribution
58,801,A,F 9,3,Distribution
58,801,A,F 10,3,Cross Table
58,801,A,F 11,0,Cross Table
58,801,A,F 12,0,Cross Table
58,801,A,F 13,0,Correlation
58,801,A,F 14,3,Correlation
58,801,A,F 15,2,Correlation
58,801,A,F 19,3,Mean Difference
58,801,A,F 20,3,Mean Difference
58,801,A,F 21,3,Mean Difference
58,801,A,F 25,3,Quali
58,801,A,F 26,3,Quali
58,801,A,F 27,3,Quali
58,801,A,F 28,3,Quali
58,801,A,F 29,3,Quali
58,801,A,F 30,3,Quali
58,801,A,F 31,3,Quali
58,801,A,F 32,3,Quali
58,801,A,F 33,3,Quali
58,801,A,F 34,3,Quali
58,801,A,F 35,0,Quali
58,801,A,F 36,0,Quali
58,801,A,F 37,0,Quali
58,801,A,F 38,0,Quali
58,801,A,F 39,0,Quali
58,801,A,F 40,3,Quali
58,801,A,F 41,0,Quali
58,801,A,F 42,3,Quali
55,541,B,F 1,2,Methodology
55,541,B,F 2,3,Methodology
55,541,B,F 3,1,Methodology
55,541,B,F 4,3,Measurement Theory
55,541,B,F 5,1,Measurement Theory
55,541,B,F 6,1.5,Measurement Theory
55,541,B,F 7,3,Distribution
55,541,B,F 8,1,Distribution
55,541,B,F 9,3,Distribution
55,541,B,F 10,3,Cross Table
55,541,B,F 11,0,Cross Table
55,541,B,F 12,1.5,Cross Table
55,541,B,F 13,0,Correlation
55,541,B,F 14,0,Correlation
55,541,B,F 15,1,Correlation
55,541,B,F 19,3,Mean Difference
55,541,B,F 20,0,Mean Difference
55,541,B,F 21,2.25,Mean Difference
55,541,B,F 25,3,Quali
55,541,B,F 26,0,Quali
55,541,B,F 27,0,Quali
55,541,B,F 28,3,Quali
55,541,B,F 29,0,Quali
55,541,B,F 30,2.25,Quali
55,541,B,F 31,0,Quali
55,541,B,F 32,3,Quali
55,541,B,F 33,0,Quali
55,541,B,F 34,3,Quali
55,541,B,F 35,0,Quali
55,541,B,F 36,0,Quali
55,541,B,F 37,0,Quali
55,541,B,F 38,3,Quali
55,541,B,F 39,3,Quali
55,541,B,F 40,3,Quali
55,541,B,F 41,3,Quali
55,541,B,F 42,0,Quali
59,862,B,F 1,0.75,Methodology
59,862,B,F 2,0,Methodology
59,862,B,F 3,1,Methodology
59,862,B,F 4,3,Measurement Theory
59,862,B,F 5,3,Measurement Theory
59,862,B,F 6,2.25,Measurement Theory
59,862,B,F 7,3,Distribution
59,862,B,F 8,3,Distribution
59,862,B,F 9,3,Distribution
59,862,B,F 10,3,Cross Table
59,862,B,F 11,0,Cross Table
59,862,B,F 12,3,Cross Table
59,862,B,F 13,1.5,Correlation
59,862,B,F 14,3,Correlation
59,862,B,F 15,3,Correlation
59,862,B,F 19,3,Mean Difference
59,862,B,F 20,3,Mean Difference
59,862,B,F 21,0,Mean Difference
59,862,B,F 25,0,Quali
59,862,B,F 26,3,Quali
59,862,B,F 27,3,Quali
59,862,B,F 28,0,Quali
59,862,B,F 29,0,Quali
59,862,B,F 30,3,Quali
59,862,B,F 31,3,Quali
59,862,B,F 32,0,Quali
59,862,B,F 33,3,Quali
59,862,B,F 34,3,Quali
59,862,B,F 35,0,Quali
59,862,B,F 36,0,Quali
59,862,B,F 37,3,Quali
59,862,B,F 38,0,Quali
59,862,B,F 39,3,Quali
59,862,B,F 40,0,Quali
59,862,B,F 41,3,Quali
59,862,B,F 42,3,Quali
59,545,B,F 1,1.5,Methodology
59,545,B,F 2,0,Methodology
59,545,B,F 3,1,Methodology
59,545,B,F 4,2,Measurement Theory
59,545,B,F 5,3,Measurement Theory
59,545,B,F 6,1.5,Measurement Theory
59,545,B,F 7,3,Distribution
59,545,B,F 8,3,Distribution
59,545,B,F 9,3,Distribution
59,545,B,F 10,3,Cross Table
59,545,B,F 11,3,Cross Table
59,545,B,F 12,1.5,Cross Table
59,545,B,F 13,0,Correlation
59,545,B,F 14,3,Correlation
59,545,B,F 15,2,Correlation
59,545,B,F 19,3,Mean Difference
59,545,B,F 20,3,Mean Difference
59,545,B,F 21,3,Mean Difference
59,545,B,F 25,0,Quali
59,545,B,F 26,3,Quali
59,545,B,F 27,3,Quali
59,545,B,F 28,3,Quali
59,545,B,F 29,0,Quali
59,545,B,F 30,3,Quali
59,545,B,F 31,3,Quali
59,545,B,F 32,3,Quali
59,545,B,F 33,3,Quali
59,545,B,F 34,0,Quali
59,545,B,F 35,3,Quali
59,545,B,F 36,0,Quali
59,545,B,F 37,3,Quali
59,545,B,F 38,3,Quali
59,545,B,F 39,3,Quali
59,545,B,F 40,0,Quali
59,545,B,F 41,3,Quali
59,545,B,F 42,3,Quali
58,760,A,F 1,0.75,Methodology
58,760,A,F 2,1.5,Methodology
58,760,A,F 3,1,Methodology
58,760,A,F 4,3,Measurement Theory
58,760,A,F 5,1,Measurement Theory
58,760,A,F 6,2.25,Measurement Theory
58,760,A,F 7,3,Distribution
58,760,A,F 8,3,Distribution
58,760,A,F 9,3,Distribution
58,760,A,F 10,3,Cross Table
58,760,A,F 11,3,Cross Table
58,760,A,F 12,3,Cross Table
58,760,A,F 13,3,Correlation
58,760,A,F 14,0,Correlation
58,760,A,F 15,3,Correlation
58,760,A,F 19,3,Mean Difference
58,760,A,F 20,3,Mean Difference
58,760,A,F 21,3,Mean Difference
58,760,A,F 25,3,Quali
58,760,A,F 26,0,Quali
58,760,A,F 27,0,Quali
58,760,A,F 28,3,Quali
58,760,A,F 29,3,Quali
58,760,A,F 30,3,Quali
58,760,A,F 31,3,Quali
58,760,A,F 32,0,Quali
58,760,A,F 33,0,Quali
58,760,A,F 34,0,Quali
58,760,A,F 35,3,Quali
58,760,A,F 36,3,Quali
58,760,A,F 37,0,Quali
58,760,A,F 38,3,Quali
58,760,A,F 39,3,Quali
58,760,A,F 40,0,Quali
58,760,A,F 41,0,Quali
58,760,A,F 42,3,Quali
59,622,B,F 1,2.25,Methodology
59,622,B,F 2,3,Methodology
59,622,B,F 3,3,Methodology
59,622,B,F 4,3,Measurement Theory
59,622,B,F 5,3,Measurement Theory
59,622,B,F 6,1.5,Measurement Theory
59,622,B,F 7,3,Distribution
59,622,B,F 8,3,Distribution
59,622,B,F 9,3,Distribution
59,622,B,F 10,3,Cross Table
59,622,B,F 11,0,Cross Table
59,622,B,F 12,3,Cross Table
59,622,B,F 13,0,Correlation
59,622,B,F 14,3,Correlation
59,622,B,F 15,0,Correlation
59,622,B,F 19,3,Mean Difference
59,622,B,F 20,3,Mean Difference
59,622,B,F 21,3,Mean Difference
59,622,B,F 25,0,Quali
59,622,B,F 26,0,Quali
59,622,B,F 27,0,Quali
59,622,B,F 28,3,Quali
59,622,B,F 29,3,Quali
59,622,B,F 30,0,Quali
59,622,B,F 31,3,Quali
59,622,B,F 32,3,Quali
59,622,B,F 33,3,Quali
59,622,B,F 34,0,Quali
59,622,B,F 35,3,Quali
59,622,B,F 36,3,Quali
59,622,B,F 37,3,Quali
59,622,B,F 38,0,Quali
59,622,B,F 39,0,Quali
59,622,B,F 40,3,Quali
59,622,B,F 41,3,Quali
59,622,B,F 42,3,Quali
59,715,A,F 1,1.5,Methodology
59,715,A,F 2,1.5,Methodology
59,715,A,F 3,3,Methodology
59,715,A,F 4,3,Measurement Theory
59,715,A,F 5,1,Measurement Theory
59,715,A,F 6,3,Measurement Theory
59,715,A,F 7,3,Distribution
59,715,A,F 8,0,Distribution
59,715,A,F 9,3,Distribution
59,715,A,F 10,0,Cross Table
59,715,A,F 11,3,Cross Table
59,715,A,F 12,0,Cross Table
59,715,A,F 13,1.5,Correlation
59,715,A,F 14,3,Correlation
59,715,A,F 15,2,Correlation
59,715,A,F 19,3,Mean Difference
59,715,A,F 20,3,Mean Difference
59,715,A,F 21,0.75,Mean Difference
59,715,A,F 25,3,Quali
59,715,A,F 26,0,Quali
59,715,A,F 27,3,Quali
59,715,A,F 28,3,Quali
59,715,A,F 29,3,Quali
59,715,A,F 30,3,Quali
59,715,A,F 31,3,Quali
59,715,A,F 32,3,Quali
59,715,A,F 33,3,Quali
59,715,A,F 34,0,Quali
59,715,A,F 35,3,Quali
59,715,A,F 36,0,Quali
59,715,A,F 37,0,Quali
59,715,A,F 38,3,Quali
59,715,A,F 39,3,Quali
59,715,A,F 40,0,Quali
59,715,A,F 41,0,Quali
59,715,A,F 42,3,Quali
60,624,A,F 1,3,Methodology
60,624,A,F 2,3,Methodology
60,624,A,F 3,3,Methodology
60,624,A,F 4,2.5,Measurement Theory
60,624,A,F 5,3,Measurement Theory
60,624,A,F 6,1.5,Measurement Theory
60,624,A,F 7,3,Distribution
60,624,A,F 8,2,Distribution
60,624,A,F 9,3,Distribution
60,624,A,F 10,3,Cross Table
60,624,A,F 11,3,Cross Table
60,624,A,F 12,3,Cross Table
60,624,A,F 13,3,Correlation
60,624,A,F 14,0,Correlation
60,624,A,F 15,3,Correlation
60,624,A,F 19,3,Mean Difference
60,624,A,F 20,3,Mean Difference
60,624,A,F 21,3,Mean Difference
60,624,A,F 25,3,Quali
60,624,A,F 26,3,Quali
